risk_qid,component_qid,component_description,component_domain,n,interaction_beta,interaction_se,interaction_p,adj_r2,interaction_fdr
QUO197,QUO257,Was trying to become pregnant,intentionality,188,-0.5311223764470366,0.13528740181783597,0.00012202893158597128,0.418810364561335,0.0013742112330170642
QUO210,QUO257,Was trying to become pregnant,intentionality,188,-0.49751665931632705,0.12720134092507182,0.00012905495207404805,0.4586572585694828,0.0013742112330170642
QUO210,QUO179,Exercised 3+ days/week in 3 months before pregnancy,preconception,86,-0.9444207132498749,0.23983478486622184,0.00017177640412713302,0.41583499212198116,0.0013742112330170642
QUO210,QUO297,Prenatal care began in first trimester (2009-2011),early_engagement,86,-0.7417947127598474,0.1980094129313889,0.0003325929496011959,0.39631826071963283,0.0019955576976071754
QUO197,QUO297,Prenatal care began in first trimester (2009-2011),early_engagement,86,-0.7022542200485385,0.2024024227882612,0.0008335905449945447,0.3522398826421317,0.0036120405280604118
QUO197,QUO179,Exercised 3+ days/week in 3 months before pregnancy,preconception,86,-0.8960654113951652,0.26068243542737185,0.0009250715666850873,0.3424988481946607,0.0036120405280604118
QUO197,QUO4,Still breastfeeding at 4 weeks postpartum,early_engagement,188,-0.49017548013870726,0.15016277351845234,0.001308484664860332,0.4018885411572355,0.0036120405280604118
QUO210,QUO4,Still breastfeeding at 4 weeks postpartum,early_engagement,188,-0.47017965078890356,0.14494878985215995,0.001400971798368733,0.4455138436623083,0.0036120405280604118
QUO210,QUO44,Still breastfeeding at 8 weeks postpartum,early_engagement,188,-0.46712606921307387,0.14525474527850113,0.0015361895965659844,0.44484004396691224,0.0036120405280604118
QUO197,QUO5,Ever breastfed or pumped breast milk,early_engagement,188,-0.4874525668651237,0.15206545806521649,0.0015895269918473343,0.40531734474589287,0.0036120405280604118
QUO210,QUO5,Ever breastfed or pumped breast milk,early_engagement,188,-0.4723419871536758,0.14798535943854943,0.001662822255371621,0.44687129195587305,0.0036120405280604118
QUO197,QUO44,Still breastfeeding at 8 weeks postpartum,early_engagement,188,-0.47742100146159827,0.15077052012213496,0.0018060202640302059,0.3993760398934739,0.0036120405280604118
QUO197,QUO101,Baby had checkup/exam within first week,early_engagement,188,-0.388358263853415,0.12757664686117684,0.0026756472293343325,0.5352376697528316,0.004598043953461988
QUO210,QUO296,Got prenatal care as early as wanted (2000-2008),early_engagement,102,-0.3952866053765365,0.12831901520817868,0.0026821923061861597,0.5879727728316626,0.004598043953461988
QUO210,QUO41,Took multivitamins >4x/week month before pregnancy,preconception,188,-0.3371447138309429,0.1220410747350758,0.006317471290087973,0.44899975628038424,0.010003675025259007
QUO197,QUO296,Got prenatal care as early as wanted (2000-2008),early_engagement,102,-0.3917358443592478,0.14132101528877317,0.0066691166835060045,0.5574550309437329,0.010003675025259007
QUO210,QUO249,Had teeth cleaned by dentist before pregnancy,preconception,86,-0.5106292157831003,0.20674913180703142,0.015593519004352574,0.3826256605220997,0.022014379770850693
QUO197,QUO41,Took multivitamins >4x/week month before pregnancy,preconception,188,-0.3109962244630017,0.12872300604809264,0.016669100690833494,0.41561812398208386,0.02222546758777799
QUO197,QUO75,Had teeth cleaned during pregnancy,preconception,95,-0.5516938017578147,0.2367236428382838,0.02198801782450177,0.41839507095040096,0.027774338304633817
QUO210,QUO101,Baby had checkup/exam within first week,early_engagement,188,-0.2719584997629356,0.12105223520587466,0.02585277842907674,0.5653545958264646,0.03102333411489209
QUO197,QUO249,Had teeth cleaned by dentist before pregnancy,preconception,86,-0.4604605970213517,0.20585979583001707,0.0280163192528069,0.3593285777064301,0.03201865057463645
QUO210,QUO75,Had teeth cleaned during pregnancy,preconception,95,-0.50055529394965,0.23795707170361177,0.03817659863627698,0.447776714585591,0.04164719851230216
QUO210,QUO65,Took daily multivitamin in month before pregnancy,preconception,188,-0.22610700573400866,0.11993986914545593,0.06098314865988019,0.4534406150938456,0.06363458990596194
QUO197,QUO65,Took daily multivitamin in month before pregnancy,preconception,188,-0.20310384595558573,0.1260655374451551,0.10887258711011616,0.42693382359418686,0.10887258711011616
