pcha_variant,risk_qid,excluded_state,n,interaction_beta,interaction_p
strict_preconception,QUO197,AK,181,-0.39985474905083374,0.0018039383575991774
strict_preconception,QUO197,AR,185,-0.37804870266071644,0.0018312795171984142
strict_preconception,QUO197,CO,180,-0.40598850890915705,0.002019290443015187
strict_preconception,QUO197,DE,183,-0.381412954573185,0.0022255012533549667
strict_preconception,QUO197,GA,180,-0.4200214261007172,0.0005942426194101014
strict_preconception,QUO197,HI,180,-0.40046524455091403,0.0018099369550428346
strict_preconception,QUO197,IL,187,-0.37645747841647714,0.002473134155605905
strict_preconception,QUO197,MA,183,-0.39995438128064076,0.0013974541079391223
strict_preconception,QUO197,MD,180,-0.38990442690400196,0.0025319550033426896
strict_preconception,QUO197,ME,180,-0.3783274344940344,0.004197522928112596
strict_preconception,QUO197,MI,185,-0.3711387893555538,0.0033005899121365534
strict_preconception,QUO197,MN,180,-0.43315192631619825,0.001014788052250415
strict_preconception,QUO197,MO,184,-0.3861813467703785,0.0024659504907316165
strict_preconception,QUO197,MS,187,-0.4201658605209062,0.000737104803991917
strict_preconception,QUO197,NC,184,-0.41618410007246154,0.0007746041613556631
strict_preconception,QUO197,NE,180,-0.40619445048608926,0.002042418039317706
strict_preconception,QUO197,NJ,185,-0.4016366582426528,0.0013737304862371236
strict_preconception,QUO197,NM,185,-0.38495312738210363,0.0016713717282390572
strict_preconception,QUO197,NY,181,-0.41186144489996535,0.001686945134848683
strict_preconception,QUO197,OH,182,-0.3972091158194203,0.0017385449487508087
strict_preconception,QUO197,OK,185,-0.3889316548068644,0.0019568973559920266
strict_preconception,QUO197,OR,180,-0.39580227812773483,0.0024527993050704744
strict_preconception,QUO197,PA,183,-0.36968015398018017,0.004015018293942907
strict_preconception,QUO197,PRAMS Total,180,-0.41163834253303744,0.001948578085850139
strict_preconception,QUO197,RI,180,-0.41919655542727696,0.0015252990393044286
strict_preconception,QUO197,SC,184,-0.36122350999518515,0.0026940746010895023
strict_preconception,QUO197,SD,187,-0.27292915799956297,0.07456958844022643
strict_preconception,QUO197,TN,186,-0.4043341194722533,0.0010664757642924183
strict_preconception,QUO197,TX,186,-0.3914150254802436,0.0016579157728016103
strict_preconception,QUO197,UT,180,-0.2555932999041979,0.04244345282454076
strict_preconception,QUO197,VT,180,-0.3583364300762131,0.004210733858961646
strict_preconception,QUO197,WA,180,-0.347997202191074,0.007099426527233721
strict_preconception,QUO197,WI,183,-0.3937156688869239,0.0026377287783900805
strict_preconception,QUO197,WV,185,-0.38313527027858896,0.0021795724505029312
strict_preconception,QUO197,WY,183,-0.3911691534037677,0.002449521122527498
strict_preconception,QUO197,YC,186,-0.3881403939259156,0.0019588971417998646
strict_preconception,QUO210,AK,181,-0.4033097644081738,0.0008555843483399883
strict_preconception,QUO210,AR,185,-0.3752337664022998,0.0011003601525383377
strict_preconception,QUO210,CO,180,-0.40989527396591396,0.0009031173053151154
strict_preconception,QUO210,DE,183,-0.38816978257053547,0.0009689027244472737
strict_preconception,QUO210,GA,180,-0.41284072174590936,0.00036680543464440163
strict_preconception,QUO210,HI,180,-0.4083624805060939,0.0007850806642200059
strict_preconception,QUO210,IL,187,-0.3805088851772205,0.0011609756900063939
strict_preconception,QUO210,MA,183,-0.40537604588778897,0.000616715669990997
strict_preconception,QUO210,MD,180,-0.40096579252931897,0.0010292943786753828
strict_preconception,QUO210,ME,180,-0.36272936235742137,0.0035767910829958005
strict_preconception,QUO210,MI,185,-0.37855531026346534,0.0015042087003296345
strict_preconception,QUO210,MN,180,-0.4263718350785355,0.0005927315025644475
strict_preconception,QUO210,MO,184,-0.39146143032700637,0.0011456627748769321
strict_preconception,QUO210,MS,187,-0.42107672175888644,0.00033248828256837726
strict_preconception,QUO210,NC,184,-0.4228694340638306,0.00031249481351514063
strict_preconception,QUO210,NE,180,-0.4101139807829739,0.0009530177886709623
strict_preconception,QUO210,NJ,185,-0.4037384564249,0.0006544376427468634
strict_preconception,QUO210,NM,185,-0.38924696883005394,0.0007324866548643616
strict_preconception,QUO210,NY,181,-0.4161037061131174,0.0007227773908558
strict_preconception,QUO210,OH,182,-0.4010455659476776,0.0008125980491666684
strict_preconception,QUO210,OK,185,-0.39345301113970077,0.0009112521292311548
strict_preconception,QUO210,OR,180,-0.39837306950140694,0.0012354611625255973
strict_preconception,QUO210,PA,183,-0.3813914425266123,0.0016777380555828003
strict_preconception,QUO210,PRAMS Total,180,-0.4160502818775875,0.0009041297309348995
strict_preconception,QUO210,RI,180,-0.4115458066734228,0.0009915386683412297
strict_preconception,QUO210,SC,184,-0.3677974182280921,0.0012420431793427333
strict_preconception,QUO210,SD,187,-0.346739221591412,0.01940457877250923
strict_preconception,QUO210,TN,186,-0.40810542248952997,0.00044201452336678493
strict_preconception,QUO210,TX,186,-0.39558626967613564,0.0007632508323291987
strict_preconception,QUO210,UT,180,-0.2443383711476367,0.03731254806997675
strict_preconception,QUO210,VT,180,-0.36963216204961924,0.0016988413515606204
strict_preconception,QUO210,WA,180,-0.3829449011378636,0.0017866173399276875
strict_preconception,QUO210,WI,183,-0.3924345261552853,0.0013978379990173817
strict_preconception,QUO210,WV,185,-0.38776590100149777,0.0010208819597101737
strict_preconception,QUO210,WY,183,-0.3952818136081926,0.0011086591881570573
strict_preconception,QUO210,YC,186,-0.3942032154455938,0.0008757592598782615
